# Narrow-plane branch of the 1D reduction: r = sigma_wide/sigma_narrow >= 1.
# Self-check 4 passes throughout this range (it fails only for r <= 0.3).
# Y_1d_sim here uses the DEFAULT periodic box L=24, which is NOT converged
# at large r -- see yokoya_box_convergence.tsv.  Quote Y_m1_matrix.
aspect_ratio	Y_m1_matrix	Y_1d_sim_L24	spread_percent_L24
1.0	1.1619505954745812	1.142738195771792	1.6534609799775835
1.5	1.139368809472563	1.1145419341052676	2.1790025460490026
2.0	1.1256725169590198	1.0979438035132905	2.4633019841896697
3.0	1.1099220844842161	1.0734249593605971	3.2882601070668205
5.0	1.0955602947066323	1.042625313096024	4.831772552033131
11.111	1.082355199122631	1.0011939455678187	7.4985784353050144
20.0	1.0772235877350433	0.9769834874166439	9.30541267938284
50.0	1.0732540001929136	0.9538647548397949	11.124043826685847
100.0	1.0719080839187933	0.9441353602017588	11.920119423851128
500.0	1.0708228391029473	0.9360040197357367	12.590207683667954
